trial	subject	repetition	x	y	random
train	rat7	0	0.012928925	-0.46778172	false
train	rat7	0	0.019999994	-0.46071064	false
train	rat7	0	0.027071062	-0.4536396	false
train	rat7	0	0.03414213	-0.44656852	false
train	rat7	0	0.041213196	-0.43949744	false
train	rat7	0	0.048284266	-0.4324264	false
train	rat7	0	0.055355333	-0.42535532	false
train	rat7	0	0.062426403	-0.41828427	false
train	rat7	0	0.069497466	-0.4112132	false
train	rat7	0	0.07949747	-0.4112132	false
train	rat7	0	0.08949747	-0.4112132	false
train	rat7	0	0.09949747	-0.4112132	false
train	rat7	0	0.10656854	-0.4041421	false
train	rat7	0	0.11363961	-0.39707106	false
train	rat7	0	0.12071067	-0.39	false
train	rat7	0	0.12778173	-0.3829289	false
train	rat7	0	0.13485281	-0.37585786	false
train	rat7	0	0.14192387	-0.36878678	false
train	rat7	0	0.14899494	-0.3617157	false
train	rat7	0	0.15606602	-0.35464466	false
train	rat7	0	0.15606602	-0.34464464	false
train	rat7	0	0.15606602	-0.33464465	false
train	rat7	0	0.15606602	-0.32464465	false
train	rat7	0	0.14899494	-0.31757358	false
train	rat7	0	0.14192387	-0.3105025	false
train	rat7	0	0.13485281	-0.30343145	false
train	rat7	0	0.13485281	-0.29343146	false
train	rat7	0	0.13485281	-0.28343144	false
train	rat7	0	0.13485281	-0.27343145	false
train	rat7	0	0.12778175	-0.26636037	false
train	rat7	0	0.12778175	-0.25636038	false
train	rat7	0	0.12071067	-0.24928932	false
train	rat7	0	0.11363961	-0.24221824	false
train	rat7	0	0.10656854	-0.23514718	false
train	rat7	0	0.10656854	-0.22514717	false
train	rat7	0	0.11363961	-0.21807611	false
train	rat7	0	0.12071068	-0.21100505	false
train	rat7	0	0.12778175	-0.20393397	false
train	rat7	0	0.12778175	-0.19393398	false
train	rat7	0	0.12778175	-0.18393397	false
train	rat7	0	0.12778175	-0.17393398	false
train	rat7	0	0.12071068	-0.1668629	false
train	rat7	0	0.11363961	-0.15979184	false
train	rat7	0	0.10656854	-0.15272078	false
train	rat7	0	0.10656854	-0.14272077	false
train	rat7	0	0.10656854	-0.13272077	false
train	rat7	0	0.10656854	-0.12272077	false
train	rat7	0	0.10656854	-0.11272077	false
train	rat7	0	0.10656854	-0.102720775	false
train	rat7	0	0.099497475	-0.095649704	false
train	rat7	0	0.092426404	-0.08857864	false
train	rat7	0	0.08535534	-0.08150757	false
train	rat7	0	0.07828427	-0.0744365	false
train	rat7	0	0.07828427	-0.0644365	false
train	rat7	0	0.07828427	-0.054436505	false
train	rat7	0	0.08535534	-0.04736544	false
train	rat7	0	0.092426404	-0.040294368	false
train	rat7	0	0.099497475	-0.0332233	false
train	rat7	0	0.099497475	-0.023223301	false
train	rat7	0	0.092426404	-0.016152235	false
train	rat7	0	0.092426404	-0.0061522345	false
train	rat7	0	0.10242641	-0.0061522354	false
train	rat7	0	0.11242641	-0.006152236	false
train	rat7	0	0.11949748	9.188315E-4	false
train	rat7	0	0.11949748	0.010918831	false
train	rat7	0	0.11949748	0.020918831	false
train	rat7	0	0.11949748	0.030918831	false
train	rat7	0	0.12656854	0.0379899	false
train	rat7	0	0.1336396	0.045060966	false
train	rat7	0	0.1336396	0.055060964	false
train	rat7	0	0.14071068	0.062132034	false
train	rat7	0	0.14071068	0.072132036	false
train	rat7	0	0.14071068	0.082132034	false
train	rat7	0	0.14071068	0.09213203	false
train	rat7	0	0.14071068	0.10213203	false
train	rat7	0	0.14778174	0.1092031	false
train	rat7	0	0.15778175	0.1092031	false
train	rat7	0	0.16485281	0.10213203	false
train	rat7	0	0.17485282	0.10213203	false
train	rat7	0	0.18192388	0.1092031	false
train	rat7	0	0.18899494	0.11627416	false
train	rat7	0	0.19606602	0.12334523	false
train	rat7	0	0.19606602	0.13334523	false
train	rat7	0	0.19606602	0.14334524	false
train	rat7	0	0.18899494	0.1504163	false
train	rat7	0	0.18192388	0.15748736	false
train	rat7	0	0.18192388	0.16748737	false
train	rat7	0	0.18192388	0.17748737	false
train	rat7	0	0.17485282	0.18455844	false
train	rat7	0	0.17485282	0.19455843	false
train	rat7	0	0.18192388	0.2016295	false
train	rat7	0	0.18192388	0.2116295	false
train	rat7	0	0.17485282	0.21870057	false
train	rat7	0	0.17485282	0.22870056	false
train	rat7	0	0.17485282	0.23870057	false
train	rat7	0	0.17485282	0.24870057	false
train	rat7	0	0.17485282	0.25870058	false
train	rat7	0	0.18192388	0.26577163	false
train	rat7	0	0.18192388	0.27577165	false
train	rat7	0	0.18192388	0.28577164	false
train	rat7	0	0.18192388	0.29577163	false
train	rat7	0	0.18192388	0.30577165	false
train	rat7	0	0.18192388	0.31577164	false
